6,0.925,0.829167,0.85,0.820833,0.95,0.85,0.75,0.702083,0.875,0.770833,0.95,0.804167
12,0.9,0.803788,0.8375,0.746591,0.85,0.774432,0.7375,0.63447,0.6625,0.630429,0.925,0.820455
18,0.891667,0.814481,0.891667,0.814032,0.875,0.797212,0.791667,0.666258,0.608333,0.588021,0.958333,0.839308
24,0.9375,0.831128,0.8375,0.749823,0.89375,0.799678,0.83125,0.721953,0.65,0.613864,0.9625,0.850791
30,0.86,0.789909,0.815,0.726726,0.845,0.773332,0.775,0.667321,0.585,0.560002,0.84,0.766534
36,0.8875,0.781022,0.866667,0.776309,0.8375,0.739058,0.766667,0.653262,0.529167,0.511523,0.908333,0.812772
42,0.889286,0.797922,0.817857,0.720744,0.871429,0.781621,0.8,0.68598,0.517857,0.520912,0.885714,0.789501
48,0.903125,0.816691,0.79375,0.72339,0.8125,0.734419,0.765625,0.659111,0.5625,0.5522,0.85625,0.776546
54,0.816667,0.727782,0.747222,0.667428,0.783333,0.716024,0.686111,0.588754,0.483333,0.471952,0.875,0.790962
60,0.89,0.808686,0.825,0.745963,0.805,0.734915,0.7175,0.61454,0.48,0.48021,0.82,0.746804
66,0.845455,0.755755,0.772727,0.690651,0.720455,0.658954,0.709091,0.601175,0.370455,0.380997,0.818182,0.743227
72,0.85,0.768625,0.733333,0.669093,0.754167,0.689853,0.633333,0.54101,0.352083,0.358401,0.804167,0.740258
78,0.803846,0.723716,0.728846,0.66036,0.740385,0.690789,0.646154,0.553581,0.403846,0.408063,0.803846,0.733179
84,0.842857,0.752907,0.660714,0.596484,0.714286,0.637088,0.589286,0.505152,0.380357,0.385678,0.769643,0.710516
90,0.825,0.733854,0.716667,0.642153,0.676667,0.613361,0.58,0.493196,0.44,0.446685,0.736667,0.674784
